Date,Close
2008-06-26,21.5810671979591
2008-06-27,21.5462547091967
2008-06-30,21.567741196667804
2008-07-01,21.37617819341116
2008-07-02,20.89287005895651
2008-07-03,21.186503742928146
2008-07-07,21.11594653498082
2008-07-08,21.687965268455176
2008-07-09,20.889901531944165
2008-07-10,20.790055369200882
2008-07-11,20.48613969350834
2008-07-14,20.491917870555397
2008-07-15,20.166663779972414
2008-07-16,20.680825081424096
2008-07-17,20.900439323852968
2008-07-18,20.8814712035086
2008-07-21,20.867298726596452
2008-07-22,21.14559843856873
2008-07-23,21.445887167673863
2008-07-24,20.978913985052124
2008-07-25,21.091841285893615
2008-07-28,20.664864088733847
2008-07-29,21.066589818429218
2008-07-30,21.44213242229926
2008-07-31,21.19993828947161
2008-08-01,21.076818140326623
2008-08-04,20.76899452663086
2008-08-05,21.279103906860527
2008-08-06,21.41981369719916
2008-08-07,20.931704823680818
2008-08-08,21.97565324296535
2008-08-11,22.107788218258325
2008-08-12,21.80251427050509
2008-08-13,21.561020093568253
2008-08-14,21.656698621824884
2008-08-15,21.638480537771883
2008-08-18,21.278524454330423
2008-08-19,21.09626503294534
2008-08-20,21.287637298656364
2008-08-21,21.451668496523272
2008-08-22,21.565580318030662
2008-08-25,21.169172857285442
2008-08-26,21.861002410564165
2008-08-27,21.773339234241416
2008-08-28,22.252000695126057
2008-08-29,22.116512656468515
2008-09-02,21.72919207526763
2008-09-03,21.849711897866378
2008-09-04,21.37123046251014
2008-09-05,21.216984968006187
2008-09-08,20.693745133620965
2008-09-09,21.46473977851307
2008-09-10,21.893640589231076
2008-09-11,21.860265999630517
2008-09-12,21.726534469956043
2008-09-15,20.79328277457822
2008-09-16,21.33956158875163
2008-09-17,19.911409539578084
2008-09-18,20.995105684334597
2008-09-19,22.07180149307326
2008-09-22,20.72933124520515
2008-09-23,21.01004720934876
2008-09-24,20.430471163217007
2008-09-25,20.99891268444979
2008-09-26,21.26267804983644
2008-09-29,20.199302696320405
2008-09-30,20.92137309180753
2008-10-01,20.732910499153615
2008-10-02,19.913352688208434
2008-10-03,19.772525853678363
2008-10-06,19.217759539833214
2008-10-07,18.222145993835152
2008-10-08,16.297558712102795
2008-10-09,17.069151346066718
2008-10-10,16.77639389350958
2008-10-13,18.72047672734595
2008-10-14,19.123614966541755
2008-10-15,17.019994082067377
2008-10-16,17.36343782337404
2008-10-17,17.28152576530005
2008-10-20,18.64461123869805
2008-10-21,17.828562791802256
2008-10-22,16.83638755532274
2008-10-23,16.632505267500626
2008-10-24,16.92253958893241
2008-10-27,16.189758103673736
2008-10-28,16.701992427721144
2008-10-29,17.72534911918415
2008-10-30,18.005526897909505
2008-10-31,18.24092983157389
2008-11-03,18.373212648753245
2008-11-04,18.81644510753552
2008-11-05,17.919856070998872
2008-11-06,17.159836726353817
2008-11-07,17.970083083169335
2008-11-10,17.755577321116608
2008-11-11,17.367001849483756
2008-11-12,16.648317292581158
2008-11-13,17.430903815307015
2008-11-14,16.640177032035293
2008-11-17,16.437343669595613
2008-11-18,16.565861416923216
2008-11-19,15.632636042454028
2008-11-20,14.674064468595008
2008-11-21,15.635207905722277
2008-11-24,16.030623351874624
2008-11-25,16.05061894930852
2008-11-26,16.61176458845991
2008-11-28,17.00471479220169
2008-12-01,15.728568592746727
2008-12-02,16.33159391219166
2008-12-03,16.667583035832298
2008-12-04,15.964074840349733
2008-12-05,16.547882366142005
2008-12-08,14.690108402913918
2008-12-09,16.70988339396439
2008-12-10,16.934127850914095
2008-12-11,16.285901474676486
2008-12-12,16.405501200351324
2008-12-15,15.870662137945194
2008-12-16,16.30126006262631
2008-12-17,15.833138007394117
2008-12-18,15.466760167647882
2008-12-19,15.815313768698966
2008-12-22,15.605951911053708
2008-12-23,15.48702254349988
2008-12-24,15.508460374032394
2008-12-26,15.621320956725896
2008-12-29,15.598120744437088
2008-12-30,15.891763236379186
2008-12-31,16.281112470245542
2009-01-02,16.78896696181326
2009-01-05,17.180354998818906
2009-01-06,17.291839810762262
2009-01-07,16.78329811910106
2009-01-08,16.620055816621573
2009-01-09,16.51116078152582
2009-01-12,16.20487212490157
2009-01-13,16.257706989517956
2009-01-14,15.670090030497212
2009-01-15,15.923881850240283
2009-01-16,15.955489113126605
2009-01-20,15.249106434844105
2009-01-21,15.920155872116814
2009-01-22,15.610330793818095
