ticker,name,mu_post_ann,vol_ann,persist,nu,med_5y,p5_5y,p95_5y,xirr_5y,ploss_5y,med_10y,p5_10y,p95_10y,xirr_10y,ploss_10y,med_20y,p5_20y,p95_20y,xirr_20y,ploss_20y,med_30y,p5_30y,p95_30y,xirr_30y,ploss_30y
AAPL,Apple,19.507129254844173,36.76290610558407,0.9831816423963574,4.753938941793907,18395.38996316042,3763.49213966386,77097.91704065575,12.96445197607865,24.775,34012.188787399726,3542.609886842209,256706.31813821036,13.022122298066297,17.625,119293.71130811077,4212.322881263351,1781783.5146550753,13.195947092814198,9.775,341919.9984340565,6376.738395491877,12165078.424052335,12.494377481651009,6.375
MSFT,Microsoft,13.651847088985477,33.99830151350285,0.9867579551061745,4.324095381715948,15696.89865629808,3541.665203849716,58261.31170830922,9.436645115711539,30.125,24884.615931056425,3133.734557254389,164612.3902554132,9.545134827230406,22.275,55048.94151613296,2789.6951014348615,866593.8316274058,8.902399438057419,16.025,120617.47183160292,2951.799704591738,3739291.3562537483,8.654322304663854,12.4
NVDA,NVIDIA,26.908675498282374,110632.54311638465,1.0,4.499708592719006,1.6485588221757296e+123,-1.443569758788892e+138,6.824866461543255e+137,6.973019658193219e+25,49.7,-1.8098277378696756e+247,-1.5638666757702888e+269,4.850727760232486e+268,,50.324999999999996,-inf,,,inf,50.375,inf,,,inf,49.65
GOOGL,Alphabet,15.026263125338565,35.798607057859606,0.9914407200935279,3.8456193345518885,17049.026979772738,3299.0141587439034,69140.70249177942,11.260221344795983,27.775,27293.050100803062,2626.8259230847048,189452.6208101596,10.561827145272119,22.425,70314.05224320358,1792.5319731651484,1189410.3349690854,10.243275003245511,15.975,190839.04125698944,2064.7027531570448,6351646.050735031,10.328803294904976,11.600000000000001
AMZN,Amazon,20.069668562681624,51.412771109191866,0.9936625379550779,3.995392606982123,18432.004372820702,1592.310502742626,139301.40930661475,13.009385381875195,32.5,29510.77006033566,225.25603529711765,631205.8140464224,11.428954120767587,28.925,91246.11602378306,-4637.208985805486,6929904.142950161,11.689081482790598,23.825,216129.46686387341,-63096.0451423759,51587778.31558252,10.787424429906633,23.3
TLT,20yr Treasury,5.580104318878142,15.60527226804325,0.9941526760638745,13.421621752972204,13134.751010648459,7316.748050589241,23813.268974704406,5.604972765514349,22.5,17337.746391969045,7203.9573446150025,40647.957673334415,5.657240688891085,13.750000000000002,29902.349781758043,8989.430444181973,96628.29043001364,5.629510170498042,6.7,52527.72491191744,12339.147897377348,223530.199979805,5.684902975261896,3.1
GLD,Gold,8.970282732603303,22.808669909081157,0.9959238603844773,5.011824181928287,10995.22969631786,4368.479529470512,27096.30146873772,1.9156459196634668,42.825,12413.721152393944,3433.6366151878633,44236.23318666729,2.185717470703552,38.65,14619.902939678235,2467.7221144156742,84872.37301906814,1.9171391748874056,37.375,17960.886116766407,1952.636588054636,150333.67088060066,1.9712145221810085,32.7
VNQ,US REITs,8.794005938180453,22.010759932511732,0.9905389777567614,7.62391401013353,13609.246682368663,4462.068128656921,39140.6755859809,6.357180857080502,32.6,18803.711495827676,4013.878520879288,86633.7902955767,6.518332205678878,24.5,37433.495095845865,4253.9014023010595,325370.33233130263,6.822569174480431,15.775,69829.4937153854,5144.125612625775,989854.2014167059,6.692681356581809,11.5
SSO,S&P500 2x Lev,14.856565576057312,40.74594737990391,0.9871657029538682,5.3224971946477995,8730.00138629091,1442.2305494081215,46243.295154087755,-2.6798291834452814,54.65,7976.9300062095335,577.2056709199629,82298.46864240798,-2.2349609375501234,56.10000000000001,5798.947746666571,107.58011120442148,182433.29954880316,-2.6877621936388096,59.699999999999996,3921.4183291221107,30.011460323742593,302698.77038971474,-3.072255733466267,64.375
QLD,QQQ 2x Lev,20.606930732843637,43.64032359739425,0.9818691856829648,5.490670893337189,12574.372417548908,1852.174343959323,71210.60767350481,4.688086972664252,41.85,15187.73386181621,874.0367062483944,193045.75209688098,4.267580944906468,39.175,23477.64142992429,396.9480807388838,831062.6921023343,4.359676281720604,36.125,30199.00195538968,140.95250136822455,2410862.1282684775,3.7527825753939537,34.0
BRK-B,Berkshire B,10.04365080691339,22.273904605040467,0.979391877920616,5.331051868178777,14254.551837369712,5458.83392364192,35811.917642743305,7.347198163239788,28.050000000000004,19156.982528310597,5265.153171366817,73022.05664379777,6.716779423300312,20.150000000000002,39687.234288169115,5566.197929857628,257562.39078161275,7.135288082348579,11.85,78761.99706520395,7759.491830907818,701138.9996487166,7.121642715466625,6.9750000000000005
VT,VT Total World,8.839571594986259,19.010270631126968,0.9858190138048082,6.106595704871876,12405.711998604205,5248.829927531972,27968.282096386036,4.405731118026024,33.550000000000004,15026.839662184088,4542.600275786681,47841.86990687432,4.156592933055792,29.65,22534.211398494,4142.040702738682,121970.64792920787,4.145885810685335,21.575,33970.750037218786,4315.018289721696,249474.55384450554,4.16060758152923,15.9
ACWI,iShares ACWI,8.60296800671836,18.34835274611667,0.9859031869884219,6.181376390608468,12160.42726414989,5283.826435159235,26917.302122647812,3.989566286917867,35.175,15169.659718713123,4829.231816197677,43565.0644328707,4.255165944921657,27.450000000000003,21615.386250947395,4210.471372476448,109315.87982833326,3.9293353817269727,21.349999999999998,32719.09569446798,4476.788720162799,212940.71986098052,4.030346031464194,16.525000000000002
