Date,VWCE.DE,CSPX.L,IWDA.L,EIMI.L,IFSW.L,IWMO.L,WSML.L,IWVL.L,QQQ,VGT,AAPL,MSFT,NVDA,GOOGL,AMZN,TLT,GLD,VNQ,SSO,QLD,BRK-B,VT,ACWI
2006-06-29,,,,,,,,,33.31288528442383,4.906707763671875,1.7652912139892578,16.41162109375,0.3279798626899719,10.363807678222656,1.9259999990463257,44.371192932128906,59.52000045776367,28.429672241210938,3.7445547580718994,0.9922383427619934,61.29999923706055,,
2006-06-30,,,,,,,,,33.15043258666992,4.89717435836792,1.7144019603729248,16.29274559020996,0.32492685317993164,10.401512145996094,1.934000015258789,44.801578521728516,61.22999954223633,28.64569664001465,3.7425146102905273,0.9827170372009277,60.86000061035156,,
2006-07-03,,,,,,,,,33.347103118896484,4.949079990386963,1.734757900238037,16.57245635986328,0.3296583592891693,10.497507095336914,1.9305000305175781,44.75729751586914,62.18000030517578,29.177133560180664,3.793468952178955,0.9941423535346985,61.0,,
2006-07-05,,,,,,,,,32.62028884887695,4.838913440704346,1.7063188552856445,16.32770347595215,0.31485384702682495,10.454345703125,1.8554999828338623,44.3999137878418,62.5,29.129602432250977,3.7430262565612793,0.9549693465232849,59.79999923706055,,
2006-07-06,,,,,,,,,32.58610534667969,4.849506378173828,1.669499158859253,16.418607711791992,0.3050869107246399,10.497259140014648,1.840000033378601,44.671966552734375,63.02000045776367,29.1987361907959,3.7547457218170166,0.9493932127952576,60.130001068115234,,
2006-07-07,,,,,,,,,32.226966857910156,4.790184020996094,1.6584221124649048,16.29274559020996,0.2956238090991974,10.429293632507324,1.8055000305175781,44.959964752197266,62.630001068115234,29.0777530670166,3.7114341259002686,0.9285829663276672,60.099998474121094,,
2006-07-10,,,,,,,,,31.944814682006836,4.717092990875244,1.6464487314224243,16.432598114013672,0.28280362486839294,10.373479843139648,1.7894999980926514,45.00263595581055,62.02000045776367,29.306745529174805,3.7180588245391846,0.9132131338119507,60.68000030517578,,
2006-07-11,,,,,,,,,32.18423080444336,4.746754169464111,1.6659055948257446,16.152889251708984,0.2922668755054474,10.531242370605469,1.7829999923706055,45.14665603637695,63.810001373291016,29.35428237915039,3.7496511936187744,0.9281744956970215,60.58000183105469,,
2006-07-12,,,,,,,,,31.57713508605957,4.651416301727295,1.5853803157806396,15.831231117248535,0.278225302696228,10.349916458129883,1.7315000295639038,45.157352447509766,64.91999816894531,29.432043075561523,3.6757688522338867,0.8914507627487183,60.290000915527344,,
2006-07-13,,,,,,,,,31.0470027923584,4.581502437591553,1.564125895500183,15.56551456451416,0.27105242013931274,10.141058921813965,1.6864999532699585,45.33336639404297,65.55000305175781,29.0345458984375,3.5646896362304688,0.8630228042602539,59.97999954223633,,
2006-07-14,,,,,,,,,30.730621337890625,4.56031608581543,1.516828179359436,15.586495399475098,0.2696787416934967,10.0088472366333,1.6460000276565552,45.36003112792969,65.8499984741211,28.637062072753906,3.5325889587402344,0.8453410267829895,59.900001525878906,,
2006-07-17,,,,,,,,,30.807600021362305,4.566670894622803,1.5677179098129272,15.719350814819336,0.2718152105808258,10.117740631103516,1.683500051498413,45.429378509521484,63.95000076293945,28.637062072753906,3.529022693634033,0.8494210243225098,60.13999938964844,,
